date	distance
01/27/2008	11.7812251585489
01/28/2008	11.8663871453423
01/29/2008	11.7918473598525
01/30/2008	11.8426893604603
01/31/2008	11.7865354305218
02/01/2008	11.8851581828852
02/02/2008	11.8639105814064
02/03/2008	11.9041862872511
02/04/2008	340.726371410696
02/05/2008	342.323755283096
02/06/2008	341.555103165523
02/09/2008	304.263788751352
02/10/2008	299.33194909323
02/11/2008	167.911746292608
02/14/2008	1840.72620390769
02/15/2008	1842.47891722559
02/16/2008	1840.78295409632
02/17/2008	11.9430087771724
02/18/2008	0.880830266153239
02/19/2008	0.85932157455135
02/20/2008	2.65331955782502
02/21/2008	0.428577969287753
02/22/2008	9.49583845253862
02/23/2008	2144.92332246302
02/24/2008	2144.96380816135
02/25/2008	2134.95050955513
02/26/2008	2135.00003429905
02/27/2008	2135.59097220396
02/28/2008	11.7918473598525
02/29/2008	12.1099728331574
03/01/2008	11.8184317886258
03/02/2008	11.8077930696174
03/03/2008	11.9903566989953
03/04/2008	11.8853248041678
03/05/2008	11.8692200141325
03/06/2008	1.68257935852591
03/07/2008	1.67325366057955
03/08/2008	0.48672253044905
03/09/2008	1.13877466580474
03/10/2008	0.261427265738381
03/11/2008	0.247930048000149
03/12/2008	0.356598424553716
03/13/2008	11.7865354305218
03/14/2008	11.8184317886258
03/15/2008	11.9498610171289
03/16/2008	11.7918473598525
03/17/2008	11.7865354305218
03/18/2008	11.9465959698926
03/19/2008	11.7865354305218
03/20/2008	11.922404539301
03/21/2008	11.8077930696174
03/22/2008	11.9921724930333
03/23/2008	11.8184317886258
03/24/2008	2577.89412567258
03/25/2008	2567.02316021847
03/26/2008	2567.60149482649
03/27/2008	2853.71175467055
03/28/2008	2567.61817998148
03/29/2008	2567.23805482522
03/30/2008	2578.05814481785
03/31/2008	11.911519300492
04/01/2008	12.1278923987917
04/11/2008	11.8426893604603
04/12/2008	11.98109508136
04/13/2008	11.7971609443015
04/14/2008	0.243178897724208
04/15/2008	11.8905602895948
04/16/2008	11.9732692983794
04/17/2008	11.826790842408
04/18/2008	7.95791687633248
04/19/2008	11.9482629399386
04/23/2008	12.1125890493508
04/24/2008	11.9412452695308
04/25/2008	0.543482722552041
04/26/2008	1.16771969189672
04/27/2008	0.419629163617651
04/28/2008	0.236275057173876
04/29/2008	0.254673770176445
04/30/2008	11.8290770835362
05/01/2008	298.349451269233
05/02/2008	313.794694392647
05/03/2008	299.064860752262
05/04/2008	2.64454230551941
05/05/2008	0.251443763747197
05/06/2008	0.216203054770937
05/07/2008	0.824053236367834
05/08/2008	0.227756633507846
05/09/2008	2.69950889155598
05/10/2008	2.62619620628623
05/11/2008	11.85323138131
05/12/2008	0.225416576883146
05/13/2008	11.7918473598525
05/14/2008	11.9062769918958
05/15/2008	0.459293154090094
05/16/2008	1.18610098377537
05/17/2008	0.814731631957033
05/18/2008	5.66450740634192
05/19/2008	0.223538788973385
05/20/2008	1.11154126201712
05/21/2008	0.343790946789504
05/22/2008	0.205744888818885
05/23/2008	0.562336800911757
05/24/2008	0.241195112861639
